# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2017-05-29,281.1442
2017-05-30,277.4942
2017-05-31,278.5724
2017-06-01,283.4635
2017-06-02,291.6435
2017-06-03,286.3420
2017-06-04,285.1023
2017-06-05,288.5422
2017-06-06,289.0958
2017-06-07,285.9711
2017-06-08,285.8727
2017-06-09,290.7394
2017-06-10,287.7601
2017-06-11,287.0724
2017-06-12,284.4718
2017-06-13,286.7576
2017-06-14,284.7271
2017-06-15,283.7917
2017-06-16,285.6481
2017-06-17,284.3741
2017-06-18,283.8346
2017-06-19,281.8537
2017-06-20,281.8171
2017-06-21,287.9414
2017-06-22,284.0148
2017-06-23,285.7676
2017-06-24,279.7323
2017-06-25,279.7718
2017-06-26,278.4938
2017-06-27,285.8272
2017-06-28,288.1539
2017-06-29,284.8468
2017-06-30,283.6545
2017-07-01,284.8271
2017-07-02,284.5660
2017-07-03,287.9082
2017-07-04,293.4631
2017-07-05,291.3552
2017-07-06,291.9475
2017-07-07,287.1693
2017-07-08,287.8181
2017-07-09,291.3376
2017-07-10,288.7934
2017-07-11,291.6706
2017-07-12,290.2061
2017-07-13,285.6545
2017-07-14,288.2989
2017-07-15,291.4615
2017-07-16,287.9807
2017-07-17,293.3663
2017-07-18,287.0876
2017-07-19,289.1687
2017-07-20,288.5056
2017-07-21,292.4585
2017-07-22,287.7343
2017-07-23,286.2278
2017-07-24,291.6140
2017-07-25,292.4016
2017-07-26,287.4919
2017-07-27,288.4965
2017-07-28,288.8263
2017-07-29,291.1929
2017-07-30,290.9150
2017-07-31,292.6000
2017-08-01,289.3305
2017-08-02,285.6941
2017-08-03,281.7966
2017-08-04,280.7014
2017-08-05,284.5047
2017-08-06,282.8034
2017-08-07,280.9647
2017-08-08,284.2722
2017-08-09,285.3572
2017-08-10,284.2816
2017-08-11,281.9259
2017-08-12,283.8423
2017-08-13,283.8189
2017-08-14,282.4308
2017-08-15,284.5501
2017-08-16,285.3078
2017-08-17,283.9080
2017-08-18,284.5331
2017-08-19,285.4283
2017-08-20,283.6654
2017-08-21,283.6484
2017-08-22,278.7650
2017-08-23,281.6779
2017-08-24,285.1517
2017-08-25,287.9147
2017-08-26,286.5836
2017-08-27,283.0822
2017-08-28,285.1977
2017-08-29,287.1202
2017-08-30,287.0885
2017-08-31,287.7386
2017-09-01,290.0238
2017-09-02,283.3650
2017-09-03,287.3105
2017-09-04,283.8032
2017-09-05,279.6400
2017-09-06,278.7504
2017-09-07,280.9297
2017-09-08,282.2101
2017-09-09,285.8385
2017-09-10,289.4501
2017-09-11,286.0079
2017-09-12,288.9014
2017-09-13,286.9620
2017-09-14,285.9236
2017-09-15,283.4216
2017-09-16,277.5283
2017-09-17,274.4318
2017-09-18,278.2605
2017-09-19,285.0614
2017-09-20,279.1710
2017-09-21,281.3311
2017-09-22,284.9592
2017-09-23,281.2800
2017-09-24,277.7493
2017-09-25,279.2714
2017-09-26,278.1240
2017-09-27,276.8038
2017-09-28,
2017-09-29,277.4888
2017-09-30,282.1805
2017-10-01,285.9094
2017-10-02,281.2193
2017-10-03,277.0894
2017-10-04,278.2230
2017-10-05,278.7001
2017-10-06,275.8971
2017-10-07,280.5772
2017-10-08,280.2473
2017-10-09,275.3577
2017-10-10,274.6466
2017-10-11,277.1213
2017-10-12,279.0273
2017-10-13,274.3425
2017-10-14,275.6638
2017-10-15,273.7840
2017-10-16,276.0758
2017-10-17,277.9842
2017-10-18,283.1456
2017-10-19,277.3493
2017-10-20,280.8944
2017-10-21,283.8849
2017-10-22,277.1170
2017-10-23,279.6345
2017-10-24,275.5974
2017-10-25,279.4261
2017-10-26,279.0191
2017-10-27,271.0965
2017-10-28,270.6442
2017-10-29,278.5226
2017-10-30,273.1467
2017-10-31,270.4296
2017-11-01,273.8435
2017-11-02,273.5185
2017-11-03,270.9053
2017-11-04,273.7863
2017-11-05,271.6862
2017-11-06,269.2470
2017-11-07,267.3596
2017-11-08,268.4909
2017-11-09,267.9238
2017-11-10,268.6850
2017-11-11,270.6172
2017-11-12,271.0287
2017-11-13,272.1236
2017-11-14,273.4261
2017-11-15,271.2287
2017-11-16,269.6844
2017-11-17,273.2043
2017-11-18,269.0646
2017-11-19,269.2283
2017-11-20,272.3100
2017-11-21,268.4926
2017-11-22,268.5226
2017-11-23,273.7845
2017-11-24,277.8598
2017-11-25,273.2287
2017-11-26,273.6058
2017-11-27,275.6911
2017-11-28,274.2005
2017-11-29,273.3544
2017-11-30,273.8697
2017-12-01,273.1498
2017-12-02,271.5985
2017-12-03,272.6553
2017-12-04,273.9819
2017-12-05,269.4208
2017-12-06,270.3077
